Subject,Predicate,Object
脱氧核糖核酸,type,NamedIndividual
伴Y遗传,type,NamedIndividual
前期,type,NamedIndividual
迁入率和迁出率,type,NamedIndividual
无机盐和蛋白质,type,NamedIndividual
胰岛素,type,NamedIndividual
拉马克学说,type,NamedIndividual
S曲线,type,NamedIndividual
减数第二次分裂,type,NamedIndividual
细胞外液,type,NamedIndividual
基因自由组合定律,type,NamedIndividual
神经系统调节,type,NamedIndividual
有丝分裂,type,NamedIndividual
单向流动,type,NamedIndividual
病毒遗传物质,type,NamedIndividual
突触间隙,type,NamedIndividual
反向平行双螺旋结构,type,NamedIndividual
隐性基因,type,NamedIndividual
生长素,type,NamedIndividual
相对性状,type,NamedIndividual
核膜,type,NamedIndividual
基因重组,type,NamedIndividual
细胞,type,NamedIndividual
核糖体,type,NamedIndividual
间期,type,NamedIndividual
兴奋,type,NamedIndividual
大脑,type,NamedIndividual
基因突变,type,NamedIndividual
脱落酸,type,NamedIndividual
高中生物,type,NamedIndividual
小脑,type,NamedIndividual
基因型频率,type,NamedIndividual
现代达尔文理论,type,NamedIndividual
基因控制蛋白质合成,type,NamedIndividual
感受器,type,NamedIndividual
呼吸作用,type,NamedIndividual
羧基,type,NamedIndividual
基因型,type,NamedIndividual
内环境,type,NamedIndividual
DNA的复制,type,NamedIndividual
碱基互补配对原理,type,NamedIndividual
RNA,type,NamedIndividual
鸟嘌呤,type,NamedIndividual
无机盐,type,NamedIndividual
常染色体,type,NamedIndividual
显性基因,type,NamedIndividual
达尔文自然选择,type,NamedIndividual
空间特征,type,NamedIndividual
核酸,type,NamedIndividual
特征,type,NamedIndividual
伴性遗传,type,NamedIndividual
体液与内环境稳态,type,NamedIndividual
免疫调节,type,NamedIndividual
孟德尔豌豆杂交实验,type,NamedIndividual
突触前膜,type,NamedIndividual
核糖核酸,type,NamedIndividual
种群、群落与生态系统,type,NamedIndividual
基因工程,type,NamedIndividual
碳酸氢根、硫酸氢根等,type,NamedIndividual
植物激素,type,NamedIndividual
神经·免疫·体液,type,NamedIndividual
反射,type,NamedIndividual
反射弧,type,NamedIndividual
免疫,type,NamedIndividual
人脑,type,NamedIndividual
神经元,type,NamedIndividual
染色体,type,NamedIndividual
能量流动,type,NamedIndividual
mRNA,type,NamedIndividual
基因与染色体的关系,type,NamedIndividual
孟德尔遗传定律的现代解释,type,NamedIndividual
表现型,type,NamedIndividual
隐性性状,type,NamedIndividual
隔离,type,NamedIndividual
细胞膜,type,NamedIndividual
激素调节,type,NamedIndividual
伴X遗传,type,NamedIndividual
细胞核,type,NamedIndividual
线粒体,type,NamedIndividual
核苷酸,type,NamedIndividual
生殖隔离,type,NamedIndividual
腺嘌呤,type,NamedIndividual
神经冲动,type,NamedIndividual
淋巴液,type,NamedIndividual
纯合子,type,NamedIndividual
酸碱度,type,NamedIndividual
体液,type,NamedIndividual
原核细胞壁,type,NamedIndividual
吲哚乙酸,type,NamedIndividual
植物病毒,type,NamedIndividual
胸腺激素,type,NamedIndividual
遗传特征,type,NamedIndividual
地理隔离,type,NamedIndividual
摩尔根的实验,type,NamedIndividual
中期,type,NamedIndividual
高中生物,type,Thing
水,type,NamedIndividual
神经中枢,type,NamedIndividual
免疫方式,type,NamedIndividual
种群,type,NamedIndividual
种群基因库,type,NamedIndividual
胸腺嘧啶,type,NamedIndividual
溶酶体,type,NamedIndividual
效应器,type,NamedIndividual
赤霉素,type,NamedIndividual
胰高血糖素,type,NamedIndividual
细胞分裂素,type,NamedIndividual
拟核,type,NamedIndividual
环境与稳态,type,NamedIndividual
光合作用,type,NamedIndividual
后期,type,NamedIndividual
突触后膜,type,NamedIndividual
传入神经,type,NamedIndividual
渗透压,type,NamedIndividual
病毒外壳,type,NamedIndividual
碱基,type,NamedIndividual
叶绿体,type,NamedIndividual
稳态,type,NamedIndividual
B淋巴细胞,type,NamedIndividual
染色体变异,type,NamedIndividual
噬菌体,type,NamedIndividual
促激素,type,NamedIndividual
进化理论,type,NamedIndividual
原核细胞,type,NamedIndividual
非脱氧,type,NamedIndividual
体细胞,type,NamedIndividual
种群密度,type,NamedIndividual
非生物部分,type,NamedIndividual
减数分裂,type,NamedIndividual
显性性状,type,NamedIndividual
肽聚糖,type,NamedIndividual
部分病毒的遗传物质,type,NamedIndividual
非特异性免疫,type,NamedIndividual
分子生物学与细胞,type,NamedIndividual
乙烯,type,NamedIndividual
温度,type,NamedIndividual
胞嘧啶,type,NamedIndividual
体液免疫,type,NamedIndividual
免疫器官,type,NamedIndividual
末期,type,NamedIndividual
核仁,type,NamedIndividual
免疫系统,type,NamedIndividual
生长激素,type,NamedIndividual
多倍体育种,type,NamedIndividual
免疫细胞,type,NamedIndividual
磷酸,type,NamedIndividual
显微镜的使用,type,NamedIndividual
细胞内液,type,NamedIndividual
血浆蛋白,type,NamedIndividual
动物病毒,type,NamedIndividual
脑干,type,NamedIndividual
植物细胞,type,NamedIndividual
肽链,type,NamedIndividual
血浆,type,NamedIndividual
氨基酸,type,NamedIndividual
萨顿假说,type,NamedIndividual
K值,type,NamedIndividual
细胞因子,type,NamedIndividual
中心法则,type,NamedIndividual
动物和人体生命活动的调节,type,NamedIndividual
生态系统,type,NamedIndividual
氨基,type,NamedIndividual
性别比例,type,NamedIndividual
脱氧,type,NamedIndividual
