Subject,Predicate,Object
辛亥革命,背景,《辛丑条约》签订
近代西方民主政治的确立与发展,包含,英国君主立宪
监察体制,包含,宋：提点刑狱司
正面战场抗战,包含,徐州会战
抗日战争,包含,抗战胜利
二战后世界政治格局的演变,包含,新兴力量崛起
一国两制构想,背景,早日解决台湾问题，实现祖国统一
两汉：中央御史大夫、地方刺史,演变,唐：御史台
早期（夏商时期）,组成内容,商超：宗法制
两极格局形成,过程,美国马歇尔计划
马克思主义的诞生,意义,理论指导蓬勃发展
红军长征,结束标志,1936年10月，红二、四方面军到达甘肃会宁地区，同红一方面军会师。红军三大主力会师，标志着万里长征的胜利结束
列强入侵,影响,中国社会严重破坏
高中历史,type,Thing
鸦片战争,时间,1840-1842年
辛亥革命,背景,资产阶级革命团体建立；兴中会；同盟会
一国两制构想,形成过程,1981年叶剑英台湾问题九条建议
中央制度,包含,宋：中书门下
新中国初期政治建设,包含,二届政协1949年
宋：中书门下,演变,元：中书省、宣政院
untitled-ontology-7,type,Ontology
中国重返联合国,概况,1971年26届联合国大会
第二次鸦片战争,时间,1856-1860年
宋：路州县,演变,元：行省制度
新时期政治建设,包含,民主政治建设成果
两极格局形成,原因,雅尔塔体系奠定了世界两极格局
太原会战,成果,平型关大捷
列强入侵,背景,中国封建社会末，国力衰微
高中历史,研究专题,近代西方民主政治的确立与发展
新民主主义革命,包含,农村包围城市道路开辟
两极格局形成,过程,美国杜鲁门主义
中国古代的政治制度,包含,早期（夏商时期）
两极格局形成,影响,国家分裂、军备竞赛家具、冷战与热战交织
70年代中国外交重大突破,包含,中国重返联合国
古代希腊、罗马政治文明,包含,古代罗马的法律
一国两制实践,包含,海峡两岸关系的发展
地方制度,包含,宋：路州县
中央制度,包含,唐：三省六部
地方制度,包含,唐：道州县
高中历史,研究专题,近代中国的民主革命
一国两制实践,包含,港澳回归
卢沟桥事变,时间,1937年7月
列强入侵,背景,工业革命
高中历史,研究专题,中国古代的政治制度
俄国十月革命,条件,俄国社会矛盾尖锐
唐：三省六部,演变,宋：中书门下
全民族抗战,包含,抗日民族统一战线的确立
中共成立,包含,中共一大1921.7.23上海嘉兴
八国联军侵华,结果,《辛丑条约》
罗马法的价值,价值,推进人人平等的法律观念
早期（夏商时期）,组成内容,西周政治制度
武汉会战,影响,抗战进入战略相持阶段
新中国成立,标志,开国大典
选官制度,包含,察举制
两极格局形成,影响,避免新世界大战的爆发、不结盟运动的兴起
全民族抗战,包含,正面战场抗战
辛亥革命,影响,中华民国成立
卢沟桥事变,标志,日本全面侵华
日本侵华史实,经济,经济掠夺
高中历史,研究专题,国际工人运动的发展
局部抗战,东北军民,抗日联军
改革开放以来对外关系全新发展,背景,国际国内形势的变化
两极格局形成,过程,北约、华约
五四运动,经过,学生罢课示威、全民罢工
改革开放以来对外关系全新发展,方针调整,不结盟政策
联邦政府的成立,时间,1788年6月联邦宪法正式生效
国民革命,兴起,1924年国民党一大召开
英国君主立宪,前提,资产阶级革命
选官制度,包含,世官制
早期（夏商时期）,组成内容,夏朝：家天下制度形成
辛亥革命,背景,民族资本主义初步发展
高中历史,研究专题,现代中国的对外关系
中央制度,包含,清朝：设置军机处
一国两制构想,形成过程,1979年元旦人大常委发表《告台湾同胞书》
新时期政治建设,包含,十一届三中全会
敌后战场抗战,包含,百团大战
新民主主义革命,包含,解放战争
抗日战争,包含,局部抗战
改革开放以来对外关系全新发展,外交成就,推进新型区域合作
抗战胜利,背景,中共七大召开
红军长征,时间,1934.10-1936.10
八国联军侵华,影响,中国半殖民地半封建社会秩序完全确立
英国君主立宪,作用,结束专制制度
抗战胜利,胜利,中国正面战场和敌后军民举行反攻
抗日民族统一战线的确立,包含,八一三事变
二战后世界政治格局的演变,包含,两极格局解体和多极化趋势加强
俄国十月革命,意义,改造俄国为社会主义现代化强国
甲午战争,时间,1894-1895年
局部抗战,爱国官兵,淞沪抗战、山海关之战、西安事变
新中国初期政治建设,包含,一届人大1945年
现代中国的政治建设,阶段,新时期政治建设
高中历史,研究专题,祖国统一
中央集权制度（秦朝至清朝）,演变与强化,地方制度
汉：频繁换相,演变,唐：三省六部
高中历史,研究专题,现代中国的政治建设
古代希腊、罗马政治文明,包含,古希腊的民主制度
抗日战争,包含,全民族抗战
敌后战场抗战,包含,洛川会议
古希腊的民主制度,条件,公民的组成、地位以及特点
中央制度,包含,明朝：废丞相、设内阁
新中国初期外交奠基,外交会议,日内瓦会议
列强入侵,背景,列强开辟中国的销售市场和原料产地
新中国初期外交奠基,外交成就,和平共处五项原则
现代中国的对外关系,包含,70年代中国外交重大突破
古代罗马的法律,包含,罗马法的价值
新民主主义革命,包含,中共成立
俄国十月革命,条件,布尔什维克党成立、列宁主义诞生
抗战胜利,胜利,苏联出兵东北与日本关东军作战
高中历史,研究专题,近代中国的政治建设与祖国统一
两极格局形成,原因,世界大国力量的对比
局部抗战,关内人民,北平“一二九运动”
国民革命,原因,国民第一次合作
抗日民族统一战线的确立,包含,红军改编：八路军新四军为主要领导人
祖国统一,包含,一国两制实践
俄国十月革命,过程,七月革命
俄国十月革命,过程,十月革命
新民主主义革命,包含,红军长征
武昌起义,时间,1911年10月
俄国十月革命,意义,为被压迫民族的解放运动提供思想武器和指导力量
正面战场抗战,包含,淞沪会战
70年代中国外交重大突破,影响,对双方的影响，对亚太及世界的影响
两极格局解体和多极化趋势加强,标志,东欧剧变、苏联解体
近代中国的民主革命,包含,新民主主义革命
鸦片战争,结果,南京条约
五四运动,结果,打开了中国新民主主义的大门
元：中书省、宣政院,演变,明朝：废丞相、设内阁
工人运动从理想到实践,包含,巴黎公社革命
甲午战争,影响,中国半殖民程度大大加深
八国联军侵华,时间,1900-1901年
新民主主义革命,包含,五四运动
列强入侵,包含,第二次鸦片战争
鸦片战争,影响,中国开始沦为半殖民地半封建社会
英国君主立宪,确立过程,限制王权法案
马克思主义的诞生,条件,经济基础、实践基础、理论和主观条件
现代中国的政治建设,阶段,文革时期民主政治建设的挫折
新中国初期政治建设,包含,一届政协1949年9月
两极格局解体和多极化趋势加强,基本特点,一超多强
中央制度,包含,汉：频繁换相
日本侵华史实,文化,推行奴化教育和愚民政策
中华民国成立,结果,《临时约法》
商超：宗法制,包含,分封制
五四运动,起因,巴黎和会中国外交失败
70年代中国外交重大突破,包含,中美关系缓和
两极格局形成,原因,美苏国际利益与社会冲突
罗马法的价值,价值,推动罗马社会不断发展
辛亥革命,意义,中国社会近代化进程中的显著里程碑
中华民国成立,结果,南京临时政府成立
抗日战争,包含,日本侵华史实
秦：中央御史大夫、地方监御史,演变,两汉：中央御史大夫、地方刺史
国际工人运动的发展,包含,工人运动从理想到实践
元：行省制度,沿用,明：行省制度
