Subject,Predicate,Object
中国开始沦为半殖民地半封建社会,type,NamedIndividual
公民法到万民法,type,NamedIndividual
国际工人运动的发展,type,NamedIndividual
改革开放以来对外关系全新发展,type,NamedIndividual
九一八事变,type,NamedIndividual
布尔什维克党成立、列宁主义诞生,type,NamedIndividual
太原会战,type,NamedIndividual
国际国内形势的变化,type,NamedIndividual
全国内战爆发、战略反攻、战略决战、渡江战役,type,NamedIndividual
1924年国民党一大召开,type,NamedIndividual
新中国成立,type,NamedIndividual
对双方的影响，对亚太及世界的影响,type,NamedIndividual
淞沪抗战、山海关之战、西安事变,type,NamedIndividual
中国正面战场和敌后军民举行反攻,type,NamedIndividual
责任内阁制的形成,type,NamedIndividual
新时期政治建设,type,NamedIndividual
限制王权法案,type,NamedIndividual
1971年26届联合国大会,type,NamedIndividual
中共七大召开,type,NamedIndividual
抗日战争,type,NamedIndividual
百团大战,type,NamedIndividual
宋：提点刑狱司,type,NamedIndividual
1981年叶剑英台湾问题九条建议,type,NamedIndividual
中国封建社会末，国力衰微,type,NamedIndividual
战争以及战后，俄国侵占中国150多万平方公里,type,NamedIndividual
洛川会议,type,NamedIndividual
抗战胜利,type,NamedIndividual
新中国初期外交奠基,type,NamedIndividual
中国半殖民程度大大加深,type,NamedIndividual
中共一大1921.7.23上海嘉兴,type,NamedIndividual
局部抗战,type,NamedIndividual
独立自主的和平外交政策,type,NamedIndividual
地理环境影响民主政治,type,NamedIndividual
宋：路州县,type,NamedIndividual
国民革命,type,NamedIndividual
唐：道州县,type,NamedIndividual
英国君主立宪,type,NamedIndividual
1840-1842年,type,NamedIndividual
1979年元旦人大常委发表《告台湾同胞书》,type,NamedIndividual
美苏国际利益与社会冲突,type,NamedIndividual
农村包围城市道路开辟,type,NamedIndividual
抗日民族统一战线的确立,type,NamedIndividual
西周政治制度,type,NamedIndividual
唐：三省六部,type,NamedIndividual
秦：中央御史大夫、地方监御史,type,NamedIndividual
美国民主共和,type,NamedIndividual
民主政治建设成果,type,NamedIndividual
现代中国的政治建设,type,NamedIndividual
新中国初期政治建设,type,NamedIndividual
不结盟政策,type,NamedIndividual
夏朝：家天下制度形成,type,NamedIndividual
经济基础、实践基础、理论和主观条件,type,NamedIndividual
多边外交,type,NamedIndividual
察举制,type,NamedIndividual
清朝：设置军机处,type,NamedIndividual
一届人大1945年,type,NamedIndividual
国民党军队包围追击，被迫实行战略性转移,type,NamedIndividual
日本的兴起,type,NamedIndividual
元：中书省、宣政院,type,NamedIndividual
资产阶级革命团体建立；兴中会；同盟会,type,NamedIndividual
选官制度,type,NamedIndividual
科举制,type,NamedIndividual
抗战进入战略相持阶段,type,NamedIndividual
二月革命,type,NamedIndividual
元：设御史台、明改督察院,type,NamedIndividual
《共产党宣言》的发表,type,NamedIndividual
推进新型区域合作,type,NamedIndividual
卢沟桥事变,type,NamedIndividual
汉：频繁换相,type,NamedIndividual
美国成为唯一超级大国、日本谋求大国地位,type,NamedIndividual
中华民族抗日战争,type,NamedIndividual
公民的组成、地位以及特点,type,NamedIndividual
五四运动,type,NamedIndividual
推行奴化教育和愚民政策,type,NamedIndividual
北约、华约,type,NamedIndividual
丘吉尔铁幕演说,type,NamedIndividual
陕甘宁边区政府成立,type,NamedIndividual
正面战场抗战,type,NamedIndividual
现代中国的对外关系,type,NamedIndividual
港澳回归,type,NamedIndividual
欧洲一体化,type,NamedIndividual
列强开辟中国的销售市场和原料产地,type,NamedIndividual
宋：中书门下,type,NamedIndividual
近代中国的政治建设与祖国统一,type,NamedIndividual
中共成立,type,NamedIndividual
日内瓦会议,type,NamedIndividual
罗马法的价值,type,NamedIndividual
八一三事变,type,NamedIndividual
近代中国维护国家主权的斗争,type,NamedIndividual
七月革命,type,NamedIndividual
北伐战争,type,NamedIndividual
台儿庄大捷,type,NamedIndividual
雅尔塔体系奠定了世界两极格局,type,NamedIndividual
秦：皇帝制,type,NamedIndividual
二战后世界政治格局的演变,type,NamedIndividual
美国杜鲁门主义,type,NamedIndividual
